tier,model,bench,arch,arch_key,N,n,acc,lo,hi,usd_1k,samples
T2,gpt-5-nano,MedXpertQA,Decentralized,discussion,7,250,38.0,32.207635551064776,44.15557678292619,2.461244,13.3
T2,gpt-5-nano,MedXpertQA,Decentralized,discussion,9,250,37.2,31.44454410853008,43.34288238106028,3.279352,17.532
T2,gpt-5-nano,MedXpertQA,Hybrid,tiered,1,249,33.33333333333333,27.770385340627037,39.40273806944472,0.295,1.4939759036144578
T2,gpt-5-nano,MedXpertQA,Hybrid,tiered,3,250,34.4,28.787380244499772,40.48479578968848,0.603348,2.824
T2,gpt-5-nano,MedXpertQA,Hybrid,tiered,5,250,35.199999999999996,29.544366352974315,41.30359552561453,0.892332,4.22
T2,gpt-5-nano,MedXpertQA,Hybrid,tiered,7,250,33.6,28.03219824371439,39.66419194607326,1.178764,5.564
T2,gpt-5-nano,MedXpertQA,Hybrid,tiered,9,250,33.2,27.655293258546276,39.25320400904108,1.561204,7.12
T2,gpt-5-nano,MedXpertQA,Independent,independent,1,500,31.8,27.869956896886677,36.0075792176382,0.18696,1.0
T2,gpt-5-nano,MedXpertQA,Independent,independent,3,500,32.6,28.63746168691645,36.827875037959,0.55974,3.0
T2,gpt-5-nano,MedXpertQA,Independent,independent,5,500,33.800000000000004,29.79123151908617,38.05580612131511,0.925328,5.0
T2,gpt-5-nano,MedXpertQA,Independent,independent,7,500,32.800000000000004,28.829548897263763,37.03273798019932,1.298748,7.0
T2,gpt-5-nano,MedXpertQA,Independent,independent,9,500,32.6,28.63746168691645,36.827875037959,1.66811,9.0
T2,gpt-5-nano,MedXpertQA,SAS CoT,cot,1,250,32.0,26.527371529560945,38.0174469714255,0.204876,1.0
T2,gpt-5-nano,MedXpertQA,SAS zero-shot,zeroshot,1,250,32.4,26.902875602743027,38.429835820443714,0.149436,1.0
T2,gpt-5-nano,MedXpertQA,Self-consistency,sc,1,250,32.800000000000004,27.27885097296531,38.84175337242174,0.202428,1.0
T2,gpt-5-nano,MedXpertQA,Self-consistency,sc,3,250,36.0,30.303128258888623,42.12061946410083,0.573328,3.0
T2,gpt-5-nano,MedXpertQA,Self-consistency,sc,5,250,34.8,29.165649607070655,40.89441934931789,0.94424,5.0
T2,gpt-5-nano,MedXpertQA,Self-consistency,sc,9,250,35.199999999999996,29.544366352974315,41.30359552561453,1.70258,9.0
T2,gpt-5-nano,MedXpertQA,Self-consistency,sc,15,250,34.4,28.787380244499772,40.48479578968848,2.81256,15.0
T3,gpt-5-mini,MedAgentsBench-hard,Centralized,centralized,1,250,44.800000000000004,38.76055969177519,50.9968323196209,1.536536,2.272
T3,gpt-5-mini,MedAgentsBench-hard,Centralized,centralized,3,250,44.4,38.3718776205658,50.59762146862998,2.396312,4.2
T3,gpt-5-mini,MedAgentsBench-hard,Centralized,centralized,5,250,44.800000000000004,38.76055969177519,50.9968323196209,3.51072,6.28
T3,gpt-5-mini,MedAgentsBench-hard,Centralized,centralized,7,250,46.0,39.92896616885707,52.192104609139925,4.603372,8.288
T3,gpt-5-mini,MedAgentsBench-hard,Centralized,centralized,9,250,45.6,39.53910486617902,51.79407298961768,5.763804,10.36
T3,gpt-5-mini,MedAgentsBench-hard,Decentralized,discussion,1,250,44.4,38.3718776205658,50.59762146862998,0.558168,1.004
T3,gpt-5-mini,MedAgentsBench-hard,Decentralized,discussion,3,250,44.800000000000004,38.76055969177519,50.9968323196209,2.10756,3.828
T3,gpt-5-mini,MedAgentsBench-hard,Decentralized,discussion,5,250,45.2,39.14963575347428,51.395649180122106,3.878328,7.28
T3,gpt-5-mini,MedAgentsBench-hard,Decentralized,discussion,7,250,46.400000000000006,40.31921887809056,52.58974482210673,5.992468,11.088
T3,gpt-5-mini,MedAgentsBench-hard,Decentralized,discussion,9,250,46.800000000000004,40.709862287317655,52.98699433507994,7.799756,14.328
T3,gpt-5-mini,MedAgentsBench-hard,Hybrid,tiered,1,250,46.0,39.92896616885707,52.192104609139925,0.623588,1.108
T3,gpt-5-mini,MedAgentsBench-hard,Hybrid,tiered,3,250,45.2,39.14963575347428,51.395649180122106,0.779676,1.312
T3,gpt-5-mini,MedAgentsBench-hard,Hybrid,tiered,5,250,44.800000000000004,38.76055969177519,50.9968323196209,0.9913400000000001,1.58
T3,gpt-5-mini,MedAgentsBench-hard,Hybrid,tiered,7,250,45.2,39.14963575347428,51.395649180122106,1.088936,1.728
T3,gpt-5-mini,MedAgentsBench-hard,Hybrid,tiered,9,250,45.6,39.53910486617902,51.79407298961768,1.251856,1.936
T3,gpt-5-mini,MedAgentsBench-hard,Independent,independent,1,250,44.4,38.3718776205658,50.59762146862998,0.547684,1.0
T3,gpt-5-mini,MedAgentsBench-hard,Independent,independent,3,250,44.4,38.3718776205658,50.59762146862998,1.608636,3.0
T3,gpt-5-mini,MedAgentsBench-hard,Independent,independent,5,250,44.0,37.983590558700136,50.19801560829534,2.674016,5.0
T3,gpt-5-mini,MedAgentsBench-hard,Independent,independent,7,250,43.6,37.5956996054035,49.79801363939168,3.716548,7.0
T3,gpt-5-mini,MedAgentsBench-hard,Independent,independent,9,250,44.800000000000004,38.76055969177519,50.9968323196209,4.77402,9.0
T3,gpt-5-mini,MedAgentsBench-hard,SAS CoT,cot,1,250,44.4,38.3718776205658,50.59762146862998,0.678044,1.0
T3,gpt-5-mini,MedAgentsBench-hard,SAS zero-shot,zeroshot,1,250,46.0,39.92896616885707,52.192104609139925,0.392224,1.0
T3,gpt-5-mini,MedAgentsBench-hard,Self-consistency,sc,1,250,43.6,37.5956996054035,49.79801363939168,0.62366,1.0
T3,gpt-5-mini,MedAgentsBench-hard,Self-consistency,sc,3,250,44.4,38.3718776205658,50.59762146862998,1.729564,3.0
